Story ID	Anforderung	P	SP	User Story	Akzeptanzkriterien
0	Grundanforderungen				
0.1	Responsive Webinterface			Als Benutzer kann ich unabhängig von meinem Gerät (OS) die Applikation via Browser bedienen.	Die Applikation kann über eine Url aufgerufen werden. Die Webseite muss sowohl am PC als auch auf dem Smartphone angenehm bedienbar sein. ()
0.2	Registrierung			Als Benutzer kann ich mich beim Start der Applikation registrieren.	Beim Start der Applikation wird der nicht authentifizierte User auf eine Seite weitergeleitet auf der er sich registrieren oder anmelden kann. Nachdem der User das Registrierungsformular abgesendet hat, sind seine Daten in der Datenbank gespeichert und der User ist angemeldet.
0.3	Login			Ich als Benutzer kann mich am System anmelden.	Ein User der registriert aber nicht angemeldet ist kann sich nach dem Starten der Applikation einlogen. Nach dem erfolgreichen Login wird eine Übersicht der erfassten Lektionen und Aufgaben angezeigt.
0.4	Persistenz der Daten			Ich als Benutzer habe unabhängig von Zeitpunkt und Gerät Zugang zu meinen Daten.	Diese Anfoerderung betrifft alle Akzeptanzkriterien. Die Daten müssen nach dem Logout erhalten bleiben. Es gibt jedoch keine Vorgaben für die Verfügbarkeit des Systems, da der Betrieb nicht Teil dieses Projektes ist.
0.5	CRUD Grundsatz			Ich als Benutzer kann sämtliche Daten die ich erfasse auch editieren und löschen	Diese Anfoerderung betrifft alle Akzeptanzkriterien. Jede vom User erfasste Entität muss bearbeitbar und löschbar sein
1	Institutionen				
1.1	Institutionen erstellen			Ich als Benutzer kann eine Institution (Schule) IET-GIBB erstellen.	Die Schule IET GIBB wird in der Datenbank gespeichert
2	Klassen				
2.1	Klassen erstellen			Ich als Benutzer kann meine Klasse erfassen und mit einer Institution verlinken	Vorbedingungen Schuljahr erfasst Die Klasse A2 wird gesepichert.
3	Schuljahre				
3.1	Schuljahre erstellen	 		Ich als Benutzer kann einer Institution Schuljahre hinzufügen.	Das neu erstellte Schuljahr 16/17 ist in der Datenbank gespeichert.
4	Semester				
4.1	Semester können erfasst werden			Ich als Benutzer kann das Semester erfassen und zu Schuljahren hinzufügen.	Dem Semester wurde angegeben wie häufig die die Fächer wiederholt werden (bsp. wöchentlich, alle 2 Wochen etc.)
5	Lehrkräfte				
5.1	Lehrkräfte erfassen			Ich als Benuter Kann die Lehrkraft Max Muser erfassen	Max Muster wird in der Datenbank gespeichert
5.2	Lehrkräfte einer Institution zuweisen			Ich als Benutzer kann beim erfassen angeben, an welcher Institution die Lehrkraft unterrichtet.	"Vorbedingungen: Institution ""BMS GIBB"" erfasst. Die Lehrkraft ist mit der Institution verlinkt."
6	Stundenplan				
6.1	Fächer können erfasst werden			Ich als Benutzer kann das Fach Mathematik, welches ich in der Schule habe, hinzufügen. Dieses Fach kann ich dann den Semestern “Winter 16/17” und “Sommer 17/18” hinzufügen.	"Vorbedingungen: Semester ""Winter 16/17"" und ""Sommer 17/18"" erstellt Das neu erstellte Fach, welches dem Semester ""Winter 16/17"" hinzugefügt wurde erscheint jetzt in der Übersicht aller Fächer des Semesters."
